Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
09.04.2026;10.04.2026;101.814,17;33.039,15;121.064,08;323.297,71;373.926,62;2.842,19;-;149.014,46;83.684,15;134.232,77;27.799,60;43.019,34
10.04.2026;11.04.2026;102.061,21;32.553,90;87.206,50;286.124,26;177.507,11;2.308,12;-;174.840,90;118.950,95;152.540,32;42.863,82;41.707,10
11.04.2026;12.04.2026;103.154,20;34.275,11;73.503,39;381.565,81;361.832,03;2.369,98;-;107.986,02;48.127,22;100.158,43;17.171,20;36.513,25
12.04.2026;13.04.2026;103.157,29;35.022,37;69.573,35;167.244,30;155.941,21;2.471,02;-;136.082,42;36.330,78;94.461,92;26.394,04;45.362,95
13.04.2026;14.04.2026;101.955,20;40.038,29;37.138,52;156.598,34;125.323,54;2.624,97;-;181.547,26;123.803,16;210.365,31;37.869,75;46.201,46
14.04.2026;15.04.2026;102.230,15;39.357,32;33.729,54;128.055,27;197.628,07;2.541,42;-;210.442,89;101.761,87;218.177,27;30.951,37;44.562,02
15.04.2026;16.04.2026;101.712,97;36.743,22;34.098,73;73.850,55;324.853,71;2.357,83;-;217.347,91;92.607,57;192.626,41;26.708,92;42.703,77
16.04.2026;17.04.2026;102.524,15;35.810,37;39.822,77;107.330,38;299.891,99;2.325,89;-;190.618,10;100.136,71;171.411,06;28.709,40;41.338,75
17.04.2026;18.04.2026;102.800,40;36.350,97;16.549,68;64.925,34;378.523,58;2.269,87;-;179.589,38;92.739,07;168.096,33;28.594,42;44.843,54
18.04.2026;19.04.2026;103.453,48;34.799,23;19.892,96;90.087,60;298.066,89;2.273,75;-;146.534,69;66.918,00;112.536,23;27.178,55;46.115,71
19.04.2026;20.04.2026;102.725,90;36.052,24;57.967,75;289.680,34;194.550,34;2.264,00;-;118.377,90;64.888,49;92.073,79;7.392,60;45.436,81
