Timestamp;Photovoltaik [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen
2026-03-01 00:00:00;5.59;7481.83
2026-03-01 00:15:00;1.67;7408.77
2026-03-01 00:30:00;1.4;7276.09
2026-03-01 00:45:00;1.33;7119.38
2026-03-01 01:00:00;1.41;6901.26
2026-03-01 01:15:00;1.39;6724.54
2026-03-01 01:30:00;1.43;6587.14
2026-03-01 01:45:00;1.44;6390.69
2026-03-01 02:00:00;1.33;6233.16
2026-03-01 02:15:00;1.29;6115.08
2026-03-01 02:30:00;1.33;5969.56
2026-03-01 02:45:00;1.71;5835.58
2026-03-01 03:00:00;1.31;5673.1
2026-03-01 03:15:00;1.3;5481.32
2026-03-01 03:30:00;1.43;5309.25
2026-03-01 03:45:00;1.38;5194.99
2026-03-01 04:00:00;1.34;5083.54
2026-03-01 04:15:00;1.53;4913.2
2026-03-01 04:30:00;1.98;4778.51
2026-03-01 04:45:00;2.72;4644.75
2026-03-01 05:00:00;1.94;4571.01
2026-03-01 05:15:00;1.94;4524.19
2026-03-01 05:30:00;1.97;4403.28
2026-03-01 05:45:00;3.8;4346.93
2026-03-01 06:00:00;2.06;4351.75
2026-03-01 06:15:00;2.11;4300.89
2026-03-01 06:30:00;4.43;4308.52
2026-03-01 06:45:00;5.88;4222.76
2026-03-01 07:00:00;25.34;4088.4
2026-03-01 07:15:00;120.77;3981.54
2026-03-01 07:30:00;354.89;3860.73
2026-03-01 07:45:00;682.15;3690.12
2026-03-01 08:00:00;1112.63;3552.52
2026-03-01 08:15:00;1621.48;3348.55
2026-03-01 08:30:00;2194.69;3130.87
2026-03-01 08:45:00;2802.91;2994.39
2026-03-01 09:00:00;3425.85;2894.08
2026-03-01 09:15:00;4067.32;2846.21
2026-03-01 09:30:00;4693.0;2779.81
2026-03-01 09:45:00;5251.52;2655.63
2026-03-01 10:00:00;5846.94;2603.03
2026-03-01 10:15:00;6292.19;2562.36
2026-03-01 10:30:00;6565.68;2466.09
2026-03-01 10:45:00;6908.57;2488.4
2026-03-01 11:00:00;7237.61;2476.41
2026-03-01 11:15:00;7428.46;2552.28
2026-03-01 11:30:00;7522.42;2553.33
2026-03-01 11:45:00;7663.43;2567.28
2026-03-01 12:00:00;7612.67;2530.28
2026-03-01 12:15:00;7579.61;2457.15
2026-03-01 12:30:00;7568.22;2498.27
2026-03-01 12:45:00;7479.39;2546.35
2026-03-01 13:00:00;7497.29;2556.02
2026-03-01 13:15:00;7373.62;2583.84
2026-03-01 13:30:00;7192.67;2589.49
2026-03-01 13:45:00;7023.25;2583.86
2026-03-01 14:00:00;6860.84;2630.32
2026-03-01 14:15:00;6625.76;2656.24
2026-03-01 14:30:00;6519.06;2767.25
2026-03-01 14:45:00;6177.12;2878.98
2026-03-01 15:00:00;5700.58;2862.01
2026-03-01 15:15:00;5256.28;2788.52
2026-03-01 15:30:00;4897.78;2877.68
2026-03-01 15:45:00;4246.06;2795.43
2026-03-01 16:00:00;3683.8;2620.87
2026-03-01 16:15:00;3064.74;2579.04
2026-03-01 16:30:00;2399.28;2486.29
2026-03-01 16:45:00;1748.28;2341.8
2026-03-01 17:00:00;1121.47;2209.14
2026-03-01 17:15:00;619.06;2160.67
2026-03-01 17:30:00;274.54;2166.96
2026-03-01 17:45:00;90.55;2215.28
2026-03-01 18:00:00;28.43;2307.12
2026-03-01 18:15:00;21.69;2452.07
2026-03-01 18:30:00;27.46;2664.63
2026-03-01 18:45:00;21.86;2880.62
2026-03-01 19:00:00;9.6;3103.2
2026-03-01 19:15:00;6.95;3309.22
2026-03-01 19:30:00;4.46;3549.89
2026-03-01 19:45:00;2.21;3733.83
2026-03-01 20:00:00;2.07;3908.18
2026-03-01 20:15:00;2.47;4088.15
2026-03-01 20:30:00;3.32;4256.07
2026-03-01 20:45:00;2.08;4404.42
2026-03-01 21:00:00;2.06;4525.96
2026-03-01 21:15:00;2.1;4612.06
2026-03-01 21:30:00;2.07;4639.56
2026-03-01 21:45:00;2.04;4671.38
2026-03-01 22:00:00;2.3;4592.43
2026-03-01 22:15:00;2.38;4646.62
2026-03-01 22:30:00;1.84;4702.27
2026-03-01 22:45:00;1.6;4710.92
2026-03-01 23:00:00;1.63;4692.17
2026-03-01 23:15:00;1.64;4718.86
2026-03-01 23:30:00;1.68;4724.96
2026-03-01 23:45:00;1.66;4705.97
2026-03-02 00:00:00;1.58;4653.63
2026-03-02 00:15:00;1.47;4601.36
2026-03-02 00:30:00;1.55;4580.77
2026-03-02 00:45:00;1.63;4462.8
2026-03-02 01:00:00;1.54;4316.46
2026-03-02 01:15:00;1.53;4201.44
2026-03-02 01:30:00;1.52;4166.6
2026-03-02 01:45:00;2.03;4161.17
2026-03-02 02:00:00;1.48;4145.7
2026-03-02 02:15:00;1.38;4094.48
2026-03-02 02:30:00;1.4;4042.11
2026-03-02 02:45:00;1.4;3973.37
2026-03-02 03:00:00;1.43;3884.82
2026-03-02 03:15:00;1.48;3788.63
2026-03-02 03:30:00;1.39;3721.03
2026-03-02 03:45:00;1.4;3603.2
2026-03-02 04:00:00;1.45;3494.04
2026-03-02 04:15:00;1.34;3445.71
2026-03-02 04:30:00;1.98;3411.81
2026-03-02 04:45:00;2.07;3409.75
2026-03-02 05:00:00;1.43;3405.91
2026-03-02 05:15:00;1.34;3426.27
2026-03-02 05:30:00;1.29;3429.64
2026-03-02 05:45:00;1.6;3435.22
2026-03-02 06:00:00;1.51;3474.55
2026-03-02 06:15:00;1.68;3469.14
2026-03-02 06:30:00;3.33;3461.72
2026-03-02 06:45:00;11.46;3462.16
2026-03-02 07:00:00;72.77;3487.41
2026-03-02 07:15:00;311.62;3489.67
2026-03-02 07:30:00;763.55;3425.73
2026-03-02 07:45:00;1346.65;3319.34
2026-03-02 08:00:00;2040.43;3255.42
2026-03-02 08:15:00;2781.61;3159.65
2026-03-02 08:30:00;3570.31;3014.71
2026-03-02 08:45:00;4372.71;2804.9
2026-03-02 09:00:00;5201.49;2511.08
2026-03-02 09:15:00;5984.25;2175.17
2026-03-02 09:30:00;6739.14;1872.35
2026-03-02 09:45:00;7413.2;1636.37
2026-03-02 10:00:00;8047.49;1467.28
2026-03-02 10:15:00;8616.9;1351.14
2026-03-02 10:30:00;9164.79;1281.91
2026-03-02 10:45:00;9634.96;1238.28
2026-03-02 11:00:00;10057.49;1231.46
2026-03-02 11:15:00;10315.58;1241.49
2026-03-02 11:30:00;10537.96;1287.21
2026-03-02 11:45:00;10673.57;1277.05
2026-03-02 12:00:00;10778.67;1322.26
2026-03-02 12:15:00;10802.35;1384.95
2026-03-02 12:30:00;10695.04;1385.16
2026-03-02 12:45:00;10601.22;1401.44
2026-03-02 13:00:00;10576.25;1479.72
2026-03-02 13:15:00;10406.14;1526.87
2026-03-02 13:30:00;10180.31;1521.19
2026-03-02 13:45:00;9829.24;1505.73
2026-03-02 14:00:00;9523.48;1593.65
2026-03-02 14:15:00;9165.66;1489.11
2026-03-02 14:30:00;8808.72;1453.29
2026-03-02 14:45:00;8263.16;1487.18
2026-03-02 15:00:00;7621.3;1285.58
2026-03-02 15:15:00;6919.33;1284.38
2026-03-02 15:30:00;6153.23;1088.63
2026-03-02 15:45:00;5341.98;983.37
2026-03-02 16:00:00;4491.27;912.17
2026-03-02 16:15:00;3701.4;849.92
2026-03-02 16:30:00;2878.44;806.86
2026-03-02 16:45:00;2135.22;897.97
2026-03-02 17:00:00;1415.96;771.12
2026-03-02 17:15:00;812.45;809.17
2026-03-02 17:30:00;365.02;915.2
2026-03-02 17:45:00;127.85;1071.21
2026-03-02 18:00:00;47.23;1244.0
2026-03-02 18:15:00;32.83;1546.37
2026-03-02 18:30:00;17.01;1630.06
2026-03-02 18:45:00;18.71;1833.29
2026-03-02 19:00:00;27.97;2038.91
2026-03-02 19:15:00;9.74;2236.65
2026-03-02 19:30:00;6.46;2455.54
2026-03-02 19:45:00;6.16;2630.07
2026-03-02 20:00:00;3.51;2805.3
2026-03-02 20:15:00;2.51;2971.64
2026-03-02 20:30:00;2.61;3115.85
2026-03-02 20:45:00;2.38;3236.96
2026-03-02 21:00:00;3.42;3345.05
2026-03-02 21:15:00;2.58;3422.23
2026-03-02 21:30:00;2.33;3466.23
2026-03-02 21:45:00;2.32;3490.5
2026-03-02 22:00:00;2.52;3421.17
2026-03-02 22:15:00;2.3;3435.41
2026-03-02 22:30:00;2.27;3470.22
2026-03-02 22:45:00;2.19;3489.26
2026-03-02 23:00:00;2.16;3485.53
2026-03-02 23:15:00;2.19;3474.33
2026-03-02 23:30:00;2.3;3452.84
2026-03-02 23:45:00;4.79;3437.6
2026-03-03 00:00:00;2.3;3411.59
2026-03-03 00:15:00;2.25;3370.02
2026-03-03 00:30:00;2.2;3312.38
2026-03-03 00:45:00;2.19;3262.07
2026-03-03 01:00:00;2.28;3190.56
2026-03-03 01:15:00;2.28;3106.66
2026-03-03 01:30:00;2.31;3012.76
2026-03-03 01:45:00;2.29;2938.06
2026-03-03 02:00:00;2.31;2881.89
2026-03-03 02:15:00;2.26;2796.82
2026-03-03 02:30:00;2.26;2700.76
2026-03-03 02:45:00;2.3;2640.38
2026-03-03 03:00:00;2.29;2550.56
2026-03-03 03:15:00;2.21;2465.88
2026-03-03 03:30:00;1.52;2395.01
2026-03-03 03:45:00;1.55;2333.0
2026-03-03 04:00:00;1.55;2247.94
2026-03-03 04:15:00;1.51;2151.75
2026-03-03 04:30:00;1.56;2065.39
2026-03-03 04:45:00;1.73;2004.85
2026-03-03 05:00:00;1.95;1962.84
2026-03-03 05:15:00;1.84;1916.56
2026-03-03 05:30:00;1.87;1862.08
2026-03-03 05:45:00;2.66;1816.05
2026-03-03 06:00:00;2.81;1792.28
2026-03-03 06:15:00;3.39;1740.37
2026-03-03 06:30:00;5.59;1673.76
2026-03-03 06:45:00;22.87;1617.91
2026-03-03 07:00:00;102.4;1559.85
2026-03-03 07:15:00;376.15;1506.03
2026-03-03 07:30:00;815.07;1404.09
2026-03-03 07:45:00;1382.19;1332.42
2026-03-03 08:00:00;2108.06;1310.35
2026-03-03 08:15:00;2855.47;1295.61
2026-03-03 08:30:00;3634.22;1253.59
2026-03-03 08:45:00;4419.23;1169.56
2026-03-03 09:00:00;5210.11;1047.55
2026-03-03 09:15:00;5963.41;894.03
2026-03-03 09:30:00;6706.25;721.67
2026-03-03 09:45:00;7393.26;546.88
2026-03-03 10:00:00;7926.66;410.02
2026-03-03 10:15:00;8490.63;308.9
2026-03-03 10:30:00;8947.32;251.42
2026-03-03 10:45:00;9339.77;225.81
2026-03-03 11:00:00;9707.02;228.66
2026-03-03 11:15:00;10031.31;229.67
2026-03-03 11:30:00;10249.49;231.34
2026-03-03 11:45:00;10448.65;236.71
2026-03-03 12:00:00;10617.14;249.89
2026-03-03 12:15:00;10702.24;285.36
2026-03-03 12:30:00;10714.3;321.53
2026-03-03 12:45:00;10648.37;374.5
2026-03-03 13:00:00;10551.65;420.08
2026-03-03 13:15:00;10293.56;452.24
2026-03-03 13:30:00;10126.58;490.24
