Timestamp;Photovoltaik [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen
0;1.3681;3524.75365
1;1.2348999999999999;3472.06985
2;1.1864285714285714;3415.1092346938776
3;1.2351;3315.3978
4;1.4272;3238.5279499999997
5;1.5497999999999998;3208.0822
6;79.375;3250.1795
7;993.3158;3082.62695
8;3034.81495;2757.3564
9;5385.05995;2367.3747
10;7256.3787;2153.4773
11;8389.839100000001;2102.8581
12;8780.921999999999;2082.5169
13;8532.15185;2096.7938
14;7716.41475;2180.30305
15;6282.7045;2294.97705
16;4317.2888;2407.40515
17;2221.1314;2487.8457
18;818.83575;2614.51485
19;160.15615;2819.5339000000004
20;7.2279;3108.44195
21;2.3006;3360.085
22;1.9008;3426.2837
23;1.5551499999999998;3468.34695
