;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.0;-1.370701;5.3604918;15.328257
1;0.0;-10.064014;-1.3210951;7.6800714
2;0.0;-18.355473;-5.759313;10.347138
3;0.0;-24.552958;-4.0040064;31.068266
4;1.12;-24.767979;10.027538;79.97405
5;9.45;-28.008375;27.714516;148.85689
6;31.43;-15.403023;70.84085;256.87726
7;58.08;18.07204;141.68445;384.0781
8;121.299995;93.1846;252.53908;513.2309
9;223.16;166.43517;343.9211;579.5202
10;328.08002;282.66306;457.96573;644.72644
11;450.49002;437.71292;594.6778;740.51404
12;608.17004;596.7395;734.6336;859.42365
13;761.32;744.40845;872.63025;990.4761
14;922.55005;892.944;1022.6862;1141.8784
15;1121.87;1047.7255;1184.5498;1306.959
16;1334.1;1233.322;1379.4897;1503.0835
17;1597.75;1469.1796;1622.9362;1744.2076
18;1850.29;1741.5503;1900.7279;2020.3718
19;2117.29;2005.297;2165.57;2284.6934
20;2366.53;2264.8596;2424.0706;2541.7214
21;2626.02;2535.173;2690.8684;2804.972
22;2919.24;2775.3235;2927.1067;3040.7986
23;3194.97;3024.903;3175.895;3288.523
24;3471.2102;3301.9705;3454.9482;3566.8262
25;3735.5598;3614.7917;3768.006;3877.1284
26;4021.4001;3872.6528;4023.2498;4133.3516
27;4294.6304;4104.709;4254.06;4364.384
28;4634.9097;4361.868;4513.561;4623.27
29;4941.71;4720.0825;4875.1255;4980.229
30;5290.36;5053.83;5208.444;5314.423
31;5499.48;5372.2095;5525.6035;5633.36
32;5743.7197;5613.999;5764.7637;5876.598
33;6010.17;5826.9478;5975.426;6086.8394
34;6199.8203;6024.574;6174.8667;6286.1147
35;6383.4897;6209.53;6363.253;6475.4736
36;6521.31;6380.9053;6537.575;6651.6333
37;6663.15;6522.103;6678.159;6791.625
38;6716.48;6605.223;6760.1606;6874.654
39;6645.3604;6634.2534;6788.5337;6904.8516
40;6560.36;6564.29;6716.4146;6835.949
41;6486.81;6426.279;6575.714;6694.7983
42;6351.88;6247.341;6396.874;6515.5283
43;6076.94;6066.287;6218.174;6336.012
44;5752.28;5802.9204;5953.9688;6073.538
45;5417.4;5420.6445;5567.459;5688.374
46;5013.6997;4967.55;5112.953;5235.284
47;4585.48;4499.5957;4646.503;4769.5693
48;4115.5703;4026.394;4174.2163;4298.166
49;3648.74;3543.4812;3688.1128;3813.2056
50;3188.88;3042.6104;3180.6023;3307.7031
51;2741.6;2558.1006;2688.1497;2814.865
52;2307.38;2092.2407;2213.5146;2337.4111
53;1858.7601;1655.89;1768.4158;1887.1431
54;1441.09;1223.273;1327.1135;1439.2341
55;1059.41;816.65643;910.9842;1013.8211
56;723.48;475.27106;556.3958;646.8655
57;440.83;235.03784;299.38925;374.26776
58;218.76;92.648796;139.75488;195.67152
59;77.479996;22.70026;55.133076;92.39067
60;18.259998;-2.7167408;18.82584;41.84389
61;3.78;-6.143055;8.253821;24.589544
62;2.07;-1.8189181;8.331216;22.518637
63;0.05;2.17571;9.845157;24.449465
64;0.05;3.3891406;9.611589;24.749517
65;0.04;0.7944463;6.221314;20.865108
66;0.04;-1.2586559;3.743736;16.394115
67;0.01;-2.2945666;2.3468256;12.825802
68;0.01;-2.4973707;1.7596502;10.5951185
69;0.01;-3.0402832;0.86472124;9.070318
70;0.01;-2.6161902;1.089453;9.369582
71;0.01;-2.1918874;1.3267714;9.736419
72;0.01;-2.139826;1.1718826;9.392435
73;0.01;-2.8639727;0.32113;7.5822415
74;0.01;-2.949586;0.15222332;7.282336
75;0.01;-2.6419556;0.29585817;8.050906
76;0.01;-2.4267008;0.35953134;8.881174
77;0.0;-2.7753484;0.11308159;7.6362405
78;0.0;-2.923944;0.022606447;8.010136
79;0.0;-2.954497;-0.012783995;8.932459
80;0.0;-3.0770311;-0.14373356;9.644759
81;0.0;-3.1479354;0.11293352;8.744154
82;0.0;-3.2160754;0.25888824;9.976205
83;0.0;-3.4528015;0.20750546;11.110328
84;0.0;-3.7761033;0.0071077035;11.861376
85;0.0;-3.7046807;0.63944656;10.929575
86;0.0;-3.652607;1.0134401;12.396773
87;0.0;-4.0910883;0.78011984;12.94989
88;0.0;-4.6933675;0.22942089;12.615088
89;0.0;-4.3762603;0.9972503;11.221436
90;0.0;-3.5724726;1.9018537;13.344615
91;0.0;-3.1210346;2.34495;15.320507
92;0.0;-3.6916993;1.731713;14.898043
93;0.0;-5.9682374;-0.33218643;7.7676835
94;0.0;-6.3761654;-1.0159574;5.454274
95;0.0;-4.00587;1.461719;8.782407
96;0.0;-1.8529142;4.602633;14.233078
97;0.0;-4.1717715;4.474645;14.956633
98;0.0;-7.73639;5.0122147;24.281052
99;0.0;-13.320121;7.490977;47.244167
100;0.24000001;-17.345772;17.948284;94.62101
101;5.61;-29.061056;27.869453;158.01271
102;47.170002;-24.882454;63.79332;259.64108
103;220.74;32.433254;161.20918;410.85886
104;536.96;234.63295;405.43256;666.45667
105;921.37006;645.6172;843.86273;1069.9996
106;1394.35;1211.879;1405.616;1579.1306
107;1935.2301;1806.5472;1963.9904;2097.3562
108;2553.1702;2406.7524;2527.5188;2641.1506
