;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.0;-23.985638;16.713272;79.95109
1;0.0;-40.60098;3.5170546;70.617714
2;0.0;-38.459686;5.2830725;78.03438
3;0.0;-43.560745;2.7020874;75.15813
4;1.12;-27.632061;22.286304;99.3607
5;9.45;-12.579155;41.08186;120.76353
6;31.43;2.6498408;57.818676;139.66049
7;58.08;27.136572;83.29992;164.36926
8;121.299995;67.35734;126.49207;212.5352
9;223.16;127.635155;191.33043;282.12924
10;328.08002;283.6878;351.00336;451.46005
11;450.49002;422.34766;494.80182;591.89966
12;608.17004;544.00397;620.3043;717.1288
13;761.32;728.2479;805.0659;908.2957
14;922.55005;895.1607;975.0276;1082.3146
15;1121.87;1043.9517;1124.4596;1231.2231
16;1334.1;1241.4418;1327.3369;1441.738
17;1597.75;1487.4958;1577.4233;1700.0242
18;1850.29;1768.7694;1866.6599;1994.0773
19;2117.29;2054.8264;2156.7039;2283.8928
20;2366.53;2310.9763;2418.6858;2546.1675
21;2626.02;2563.7764;2669.8645;2801.1343
22;2919.24;2791.324;2901.9705;3037.033
23;3194.97;3097.0586;3211.4026;3354.5898
24;3471.2102;3394.2493;3518.4634;3665.4116
25;3735.5598;3651.2983;3775.4124;3920.9988
26;4021.4001;3891.9065;4020.3328;4167.436
27;4294.6304;4160.24;4291.7256;4443.9077
28;4634.9097;4438.1533;4577.6333;4734.3584
29;4941.71;4781.861;4924.9185;5086.727
30;5290.36;5094.923;5248.5044;5409.9844
31;5499.48;5411.381;5568.204;5730.279
32;5743.7197;5605.234;5763.881;5921.706
33;6010.17;5739.518;5892.5127;6049.0483
34;6199.8203;6028.0513;6191.086;6363.69
35;6383.4897;6213.0957;6383.527;6554.3105
36;6521.31;6325.9517;6497.358;6661.092
37;6663.15;6459.5767;6627.5576;6792.523
38;6716.48;6554.838;6729.6465;6894.452
39;6645.3604;6587.3354;6760.6274;6923.866
40;6560.36;6433.5947;6598.9634;6750.163
41;6486.81;6262.7974;6415.56;6565.9956
42;6351.88;6200.861;6358.4453;6519.153
43;6076.94;6052.3345;6210.068;6366.8403
44;5752.28;5689.7734;5834.916;5971.906
45;5417.4;5252.489;5378.3354;5507.266
46;5013.6997;4905.863;5026.38;5164.2397
47;4585.48;4486.156;4603.802;4739.151
48;4115.5703;4011.6575;4118.9946;4242.573
49;3648.74;3540.6194;3636.7031;3752.0493
50;3188.88;3070.9006;3162.443;3272.2446
51;2741.6;2633.731;2720.918;2828.6003
52;2307.38;2210.3755;2291.3787;2390.25
