Timestamp;Photovoltaik [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen
0;0.0029545454545454545;2388.7322727272726
1;0.0009090909090909091;2333.6756818181816
2;0.0;2311.9945454545455
3;0.0;2293.125681818182
4;0.0;2258.6118181818183
5;0.022727272727272728;2258.908181818182
6;73.07954545454545;2257.9745454545455
7;869.643409090909;2158.6845454545455
8;2526.725;1850.9436363636364
9;4643.661363636364;1471.2272727272727
10;6567.612954545454;1309.2852272727273
11;7928.34840909091;1300.8922727272727
12;8537.322045454544;1357.1815909090908
13;8506.089772727273;1388.699090909091
14;7938.594772727272;1495.7563636363636
15;6862.407272727272;1646.0947727272726
16;5433.293409090909;1818.9099999999999
17;3608.2290909090907;1952.9272727272728
18;1728.2174999999997;1927.4247727272727
19;403.1243181818182;1940.7234090909092
20;10.971363636363636;2138.6113636363634
21;0.03181818181818182;2344.0479545454546
22;0.005227272727272727;2412.63
23;0.0038636363636363634;2400.208409090909
