;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.0;-24.585152;-0.12527324;70.31729
1;0.0;-22.152384;1.6609399;72.25503
2;0.0;-17.641552;9.272077;84.10663
3;0.0;-13.582653;17.825083;97.14491
4;0.0;-11.548587;23.430578;105.060555
5;0.0;-13.83578;18.111433;98.625694
6;0.0;-17.408161;10.630233;85.86724
7;0.0;-21.619787;3.147629;69.829506
8;0.0;-25.612053;-3.206746;53.163433
9;0.0;-31.769297;-17.076159;27.502491
10;0.0;-35.552887;-25.632671;8.318958
11;0.0;-36.918106;-26.85168;-0.12760444
12;0.0;-36.606586;-22.25627;1.5549273
13;0.0;-39.376945;-25.38181;-1.3304992
14;0.0;-41.22325;-24.31478;4.141418
15;0.0;-42.576157;-18.050777;19.52443
16;0.0;-44.321156;-9.052175;41.21732
17;0.0;-50.004284;-9.275765;57.39792
18;0.0;-55.022457;-6.371146;79.52414
19;0.0;-59.241776;1.06033;108.00885
20;0.0;-62.891834;11.315852;139.43489
21;0.0;-67.769775;14.875378;165.2301
22;0.0;-67.911;25.656527;198.8223
23;0.58;-61.1481;47.65985;243.98038
24;9.28;-47.33396;79.29525;297.05704
25;49.04;-22.731968;118.77984;359.3862
26;171.51;21.3548;181.63786;446.22983
27;412.83002;94.87144;280.79892;572.6101
28;706.7;212.54482;432.45657;757.73096
29;1086.26;409.92413;673.0743;1047.1714
30;1543.1699;725.1055;1046.1298;1484.2843
31;2071.78;1193.0854;1584.534;2096.3306
32;2654.69;1815.3303;2275.3025;2851.6624
33;3297.46;2589.5938;3098.0103;3715.0183
34;3986.59;3472.186;3990.931;4612.2104
35;4715.65;4383.7183;4870.9297;5459.992
36;5378.78;5225.6807;5653.5024;6186.853
37;5950.81;5941.979;6305.8345;6777.612
38;6606.21;6504.675;6812.2256;7231.738
39;7257.5503;6939.9478;7208.52;7593.5264
40;7722.7397;7301.8984;7552.4604;7922.55
41;8273.689;7639.305;7893.0757;8261.25
42;8837.79;7983.585;8253.682;8630.738
43;9311.47;8356.984;8653.303;9047.359
44;9789.77;8764.726;9092.816;9508.394
45;10152.75;9196.297;9562.955;9998.723
46;10336.65;9622.087;10021.82;10474.371
47;10582.04;9999.27;10420.005;10882.432
48;10606.0;10305.937;10736.882;11204.172
49;10473.44;10494.836;10923.716;11384.971
50;10425.391;10544.601;10952.4375;11401.202
51;10281.47;10468.075;10842.592;11277.248
52;10146.52;10291.433;10626.167;11047.811
53;9848.851;10020.324;10316.743;10723.743
54;9546.54;9682.578;9940.241;10335.082
55;9139.74;9307.643;9530.439;9915.538
56;8697.58;8914.526;9108.232;9484.365
57;8216.69;8479.997;8653.452;9015.748
58;7768.7505;8013.1147;8170.6147;8518.459
59;7386.3003;7529.0435;7676.428;8010.8423
60;7062.08;7048.5957;7193.874;7518.3525
61;6647.46;6559.532;6714.2046;7030.3555
62;6202.8003;6076.478;6244.1978;6557.3296
63;5779.29;5609.6914;5791.8125;6106.127
64;5350.43;5168.211;5365.6494;5683.9053
65;4914.1797;4724.4854;4939.9775;5259.206
66;4459.71;4278.392;4507.647;4825.9097
67;4028.22;3833.5723;4072.1255;4386.6777
68;3666.47;3400.6748;3645.3389;3953.392
69;3291.4302;2971.9934;3223.81;3520.5872
70;2911.32;2561.051;2815.1738;3098.2134
71;2499.99;2176.648;2426.7703;2692.8792
72;2089.49;1819.1727;2057.6714;2301.8333
73;1711.25;1469.5067;1690.4828;1904.3143
74;1341.5499;1132.0911;1326.8126;1505.7616
75;1010.97003;821.3316;984.4427;1129.3489
76;724.36;555.75366;685.79803;802.36456
77;480.71002;341.8731;442.8572;537.7801
78;275.72;186.98618;264.22275;347.04193
79;124.49999;85.14091;145.41612;223.74677
80;38.8;23.93794;74.26866;153.22623
81;9.73;-13.237908;32.059834;111.52601
82;3.23;-34.433193;8.430403;88.88172
83;0.03;-43.91467;-1.3424494;81.85655
84;0.010000001;-45.275993;-0.93295187;87.408226
85;0.010000001;-44.46012;1.3927398;93.82892
86;0.010000001;-43.41321;2.809629;97.47671
87;0.010000001;-41.913555;3.905651;99.80546
88;0.0;-39.800182;5.3628945;102.10171
89;0.0;-39.64818;2.1599734;96.60516
90;0.0;-39.498077;-0.729414;90.33806
91;0.0;-38.74612;-2.402191;84.71699
92;0.0;-37.11139;-2.3871174;81.01764
93;0.0;-37.02593;-6.870474;70.6012
94;0.0;-36.152027;-9.395312;61.830666
95;0.0;-33.904667;-8.430742;57.658966
96;0.0;-30.62742;-4.855419;57.43689
97;0.0;-29.474588;-7.4908876;49.067142
98;0.0;-28.317595;-9.84229;39.145367
99;0.0;-26.993025;-11.091017;28.911346
100;0.0;-24.75825;-9.819793;21.97526
101;0.0;-23.672411;-12.90414;11.694433
102;0.0;-20.498913;-10.333243;10.493847
103;0.0;-16.15846;-2.495959;18.395817
104;0.0;-11.600552;8.5561285;33.483784
105;0.0;-11.655957;8.544202;36.492744
106;0.0;-13.13615;7.063329;36.303894
107;0.0;-15.476033;6.854314;37.37692
108;0.0;-17.882729;9.128199;42.81647
109;0.0;-23.564137;3.0739362;41.83185
110;0.0;-28.963629;-0.65943295;44.323917
111;0.0;-35.034412;-2.378019;48.931347
112;0.0;-42.382782;-3.973233;52.920174
113;0.0;-54.470936;-17.070545;45.051247
114;0.0;-65.8151;-27.157995;41.38218
115;0.0;-75.529785;-30.896774;46.682583
116;0.0;-83.65365;-29.193466;59.902294
117;0.0;-92.07192;-31.26499;74.2001
118;0.0;-94.834404;-23.186913;103.78903
119;0.17999999;-90.78592;-2.5885956;150.09247
120;6.5099998;-78.48755;30.605986;211.66693
121;30.980001;-51.790836;77.87033;294.4025
122;117.560005;-2.0349717;153.43922;409.47522
123;263.3;77.03026;263.84644;560.55035
124;441.6;193.6345;416.0955;753.3112
125;644.22003;360.29636;617.626;995.0387
126;877.25;584.6401;878.44995;1292.5646
127;1156.2101;859.55817;1187.8105;1629.5096
128;1458.72;1164.9363;1519.9124;1976.2125
129;1762.55;1506.184;1879.0071;2343.2769
130;2084.83;1869.6572;2248.5083;2712.8997
131;2407.41;2240.0562;2611.7256;3068.4463
132;2765.18;2601.444;2954.4224;3397.4692
133;3165.96;2963.7434;3295.1326;3722.6416
134;3548.9302;3324.199;3634.8289;4048.9854
135;3867.27;3679.9211;3973.2947;4377.724
136;4089.5898;4024.2212;4303.226;4700.315
137;4280.5996;4351.747;4620.8867;5008.229
138;4512.18;4634.7217;4891.257;5265.756
139;4772.77;4857.0874;5098.7285;5459.292
