Timestamp;Photovoltaik [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen
2026-04-09 00:00:00;0.0;17364.93
2026-04-09 01:00:00;0.0;16953.5
2026-04-09 02:00:00;0.0;16637.61
2026-04-09 03:00:00;0.0;15811.25
2026-04-09 04:00:00;0.0;15374.39
2026-04-09 05:00:00;0.0;15003.01
2026-04-09 06:00:00;212.27;14502.27
2026-04-09 07:00:00;4221.37;13147.42
2026-04-09 08:00:00;13629.87;11022.8
2026-04-09 09:00:00;26865.51;8688.44
2026-04-09 10:00:00;38470.17;7967.05
2026-04-09 11:00:00;45392.53;8052.54
2026-04-09 12:00:00;47170.42;8860.59
2026-04-09 13:00:00;47103.51;7873.85
2026-04-09 14:00:00;44977.03;7631.82
2026-04-09 15:00:00;39774.28;9295.27
2026-04-09 16:00:00;33232.34;9711.83
2026-04-09 17:00:00;21922.83;11252.62
2026-04-09 18:00:00;9361.96;11743.92
2026-04-09 19:00:00;1580.84;13834.75
2026-04-09 20:00:00;11.68;17478.94
2026-04-09 21:00:00;0.01;20456.85
2026-04-09 22:00:00;0.0;21852.36
2026-04-09 23:00:00;0.0;22779.72
2026-04-10 00:00:00;0.0;23654.02
2026-04-10 01:00:00;0.0;23958.23
2026-04-10 02:00:00;0.0;23433.43
2026-04-10 03:00:00;0.0;23758.0
2026-04-10 04:00:00;0.0;23350.75
2026-04-10 05:00:00;0.0;23161.3
2026-04-10 06:00:00;100.08;22325.84
2026-04-10 07:00:00;1123.03;20798.41
2026-04-10 08:00:00;3413.9;16682.15
2026-04-10 09:00:00;6899.42;14792.59
2026-04-10 10:00:00;11106.76;12543.63
2026-04-10 11:00:00;15522.8;8910.04
2026-04-10 12:00:00;20366.46;6273.33
2026-04-10 13:00:00;24337.2;5662.91
2026-04-10 14:00:00;26546.29;5408.69
2026-04-10 15:00:00;25475.99;5438.16
2026-04-10 16:00:00;20768.86;5323.98
2026-04-10 17:00:00;13694.79;4521.15
2026-04-10 18:00:00;6666.64;3182.75
2026-04-10 19:00:00;1460.55;2185.72
2026-04-10 20:00:00;24.16;2106.12
2026-04-10 21:00:00;0.14;2128.75
2026-04-10 22:00:00;0.03;2646.29
2026-04-10 23:00:00;0.02;3877.99
2026-04-11 00:00:00;0.02;5655.32
2026-04-11 01:00:00;0.01;7810.63
2026-04-11 02:00:00;0.0;9727.28
2026-04-11 03:00:00;0.0;10963.57
2026-04-11 04:00:00;0.0;11970.2
2026-04-11 05:00:00;0.0;12462.75
2026-04-11 06:00:00;273.75;13436.68
2026-04-11 07:00:00;4787.92;13697.1
2026-04-11 08:00:00;14507.52;12310.68
2026-04-11 09:00:00;27566.35;9622.27
2026-04-11 10:00:00;38286.99;9792.94
2026-04-11 11:00:00;44276.27;10604.53
2026-04-11 12:00:00;47321.37;9949.59
2026-04-11 13:00:00;46580.26;9330.82
2026-04-11 14:00:00;43671.36;11297.19
2026-04-11 15:00:00;37989.75;14920.34
2026-04-11 16:00:00;29410.28;20521.74
2026-04-11 17:00:00;18444.73;23540.24
2026-04-11 18:00:00;7510.22;24283.48
2026-04-11 19:00:00;1191.19;24562.5
2026-04-11 20:00:00;13.86;28134.31
2026-04-11 21:00:00;0.14;30616.62
2026-04-11 22:00:00;0.01;29831.96
2026-04-11 23:00:00;0.01;26523.09
2026-04-12 00:00:00;0.01;23492.42
2026-04-12 01:00:00;0.0;19619.1
2026-04-12 02:00:00;0.0;17789.84
2026-04-12 03:00:00;0.0;16123.87
2026-04-12 04:00:00;0.0;14610.45
2026-04-12 05:00:00;0.0;13467.02
2026-04-12 06:00:00;60.22;11574.29
2026-04-12 07:00:00;1720.04;9518.37
2026-04-12 08:00:00;5499.77;7259.63
2026-04-12 09:00:00;10039.56;5113.83
2026-04-12 10:00:00;14738.84;3763.4
2026-04-12 11:00:00;18384.1;2788.91
2026-04-12 12:00:00;20855.17;2117.7
2026-04-12 13:00:00;21982.99;1965.82
2026-04-12 14:00:00;20713.54;1842.09
2026-04-12 15:00:00;16640.98;1434.47
2026-04-12 16:00:00;12520.68;1149.68
2026-04-12 17:00:00;7972.59;1081.87
2026-04-12 18:00:00;3857.52;969.25
2026-04-12 19:00:00;927.74;1185.98
2026-04-12 20:00:00;26.62;1787.94
2026-04-12 21:00:00;0.56;2540.47
2026-04-12 22:00:00;0.15;2961.83
2026-04-12 23:00:00;0.12;3086.07
2026-04-13 00:00:00;0.11;3156.61
2026-04-13 01:00:00;0.05;3149.34
2026-04-13 02:00:00;0.0;3113.91
2026-04-13 03:00:00;0.0;3076.18
2026-04-13 04:00:00;0.0;3539.28
2026-04-13 05:00:00;0.0;4416.36
2026-04-13 06:00:00;72.06;5499.33
2026-04-13 07:00:00;1359.79;6183.59
2026-04-13 08:00:00;4027.41;6471.54
2026-04-13 09:00:00;7393.57;5788.17
2026-04-13 10:00:00;11258.35;5305.54
2026-04-13 11:00:00;15420.84;5522.1
2026-04-13 12:00:00;18341.55;6100.71
2026-04-13 13:00:00;18916.41;6533.83
2026-04-13 14:00:00;16982.59;7352.04
2026-04-13 15:00:00;13372.67;7565.82
2026-04-13 16:00:00;9317.15;8005.07
2026-04-13 17:00:00;5653.73;8356.7
2026-04-13 18:00:00;2642.32;8743.03
2026-04-13 19:00:00;548.45;9150.57
2026-04-13 20:00:00;16.5;9926.23
2026-04-13 21:00:00;0.0;10561.01
2026-04-13 22:00:00;0.0;9942.6
2026-04-13 23:00:00;0.0;9138.77
2026-04-14 00:00:00;0.0;8455.73
2026-04-14 01:00:00;0.0;8280.67
2026-04-14 02:00:00;0.0;8095.74
2026-04-14 03:00:00;0.0;7758.3
2026-04-14 04:00:00;0.0;7341.18
2026-04-14 05:00:00;0.0;7188.02
2026-04-14 06:00:00;111.94;7300.79
2026-04-14 07:00:00;1894.92;6749.96
2026-04-14 08:00:00;6060.61;5773.44
2026-04-14 09:00:00;11628.27;4914.21
2026-04-14 10:00:00;17450.24;4674.95
2026-04-14 11:00:00;22310.2;5292.17
2026-04-14 12:00:00;25267.71;6122.66
2026-04-14 13:00:00;26188.91;6621.75
2026-04-14 14:00:00;25144.28;6446.45
2026-04-14 15:00:00;22300.54;5529.74
2026-04-14 16:00:00;18110.68;4702.3
2026-04-14 17:00:00;12622.14;3737.77
2026-04-14 18:00:00;6656.27;2790.92
2026-04-14 19:00:00;1824.89;2017.68
2026-04-14 20:00:00;56.49;1884.9
2026-04-14 21:00:00;0.0;2012.72
2026-04-14 22:00:00;0.0;2132.38
2026-04-14 23:00:00;0.0;2230.84
2026-04-15 00:00:00;0.0;2441.95
2026-04-15 01:00:00;0.0;2676.69
2026-04-15 02:00:00;0.0;3253.38
2026-04-15 03:00:00;0.0;3875.78
2026-04-15 04:00:00;0.0;4157.99
2026-04-15 05:00:00;0.04;4276.52
2026-04-15 06:00:00;403.03;4639.41
2026-04-15 07:00:00;4843.33;4570.09
2026-04-15 08:00:00;13976.65;4128.58
2026-04-15 09:00:00;24964.55;2245.17
2026-04-15 10:00:00;34869.76;1432.09
2026-04-15 11:00:00;41378.09;1861.47
2026-04-15 12:00:00;43496.51;2371.76
2026-04-15 13:00:00;42224.74;2246.9
2026-04-15 14:00:00;38043.0;2006.83
2026-04-15 15:00:00;31708.64;1716.47
2026-04-15 16:00:00;24364.68;1355.72
2026-04-15 17:00:00;15698.35;1157.75
2026-04-15 18:00:00;7199.87;1405.9
2026-04-15 19:00:00;1637.02;2157.16
2026-04-15 20:00:00;45.44;3063.13
2026-04-15 21:00:00;0.0;4383.28
