;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.010000001;-827.191;514.06464;2084.6348
1;0.0;51.53274;1434.1141;2866.0054
2;0.0;165.4363;1069.8671;2443.5693
3;0.0;-836.46075;-327.12747;1097.6245
4;0.0;-1578.6309;-751.3407;912.59174
5;0.58;-1095.3842;143.46129;2475.7344
6;642.66;12.717287;1290.5676;4528.4604
7;5407.91;1571.5928;2901.853;7062.802
8;14654.399;5827.9893;8223.816;13166.415
9;25193.361;14755.554;18859.248;24449.83
10;34145.69;25233.18;29989.584;35845.543
11;40861.22;33339.992;38102.95;43556.098
12;41786.31;37532.89;42188.67;46695.223
13;38681.65;36989.484;40809.277;44427.54
14;32069.33;31748.242;34497.703;37203.14
15;25691.62;23533.477;25509.867;27457.32
16;18752.54;15315.023;17315.52;18802.54
17;12369.2;9224.192;11430.576;12981.746
18;6153.2505;4934.647;6926.1646;8793.34
19;1605.29;982.5199;2201.1838;4310.5923
20;51.800003;-1459.0077;-252.80875;1854.5304
21;0.05;-1514.7516;-51.03145;1816.7178
22;0.020000001;-797.7934;366.8863;1896.7465
23;0.020000001;-944.4706;-202.81174;787.4226
24;0.010000001;-1656.5695;-983.09424;-442.79364
25;0.010000001;-2303.2688;-1516.473;-1115.2252
26;0.0;-2379.2349;-1368.8558;-746.1795
27;0.0;-1982.3335;-879.3319;231.8984
28;0.0;-1241.2206;-127.37889;1718.9683
29;0.17999999;-559.6562;416.18536;3108.3665
30;418.34998;278.2336;1302.5525;4881.8438
31;3119.27;1867.115;3160.9744;7570.192
32;7713.51;4620.4473;6241.0044;11339.133
33;13347.35;9017.083;11263.941;16838.566
34;17655.14;14468.908;17256.172;23025.723
35;20338.92;19156.854;21944.498;27622.916
36;22776.25;21028.758;23359.986;28520.375
37;22977.55;20161.707;22263.54;26678.076
38;22376.85;17899.053;20143.246;23877.912
39;21113.01;15371.425;17984.395;21186.643
40;18780.49;13084.321;15905.634;18754.6
41;13966.79;10787.745;13539.545;16213.552
42;7712.3604;7205.556;9278.746;11859.431
43;2171.18;1977.3314;3058.3767;5522.449
44;82.63;-2405.3682;-1422.7507;743.157
45;0.45;-3427.9536;-1761.8395;10.039168
46;0.020000001;-2369.5369;-721.7279;675.9593
47;0.020000001;-2253.1794;-1272.5778;-294.12222
