Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
09.04.2026 00:00;09.04.2026 01:00;4.167,28;1.367,76;5.829,63;17.364,93;0,00;120,81;-;7.946,58;5.458,94;5.592,08;66,49;1.875,78
09.04.2026 01:00;09.04.2026 02:00;4.127,31;1.353,04;5.757,58;16.953,50;0,00;123,82;-;7.964,09;4.913,61;5.719,87;64,61;1.817,77
09.04.2026 02:00;09.04.2026 03:00;4.100,13;1.348,27;5.525,43;16.637,61;0,00;126,83;-;7.971,81;4.735,12;6.026,80;51,75;1.813,55
09.04.2026 03:00;09.04.2026 04:00;4.096,16;1.333,52;5.323,55;15.811,25;0,00;126,83;-;7.977,68;4.682,66;6.262,13;105,55;1.808,58
09.04.2026 04:00;09.04.2026 05:00;4.118,04;1.330,67;5.147,49;15.374,39;0,00;126,83;-;7.983,64;4.653,93;7.100,97;51,46;1.789,67
09.04.2026 05:00;09.04.2026 06:00;4.185,90;1.344,99;5.304,97;15.003,01;0,00;129,08;-;8.030,37;4.317,85;8.029,22;490,08;1.801,58
09.04.2026 06:00;09.04.2026 07:00;4.346,16;1.370,60;5.550,64;14.502,27;212,27;129,83;-;7.886,78;4.239,53;9.030,59;3.566,79;1.811,73
09.04.2026 07:00;09.04.2026 08:00;4.447,56;1.367,61;5.721,62;13.147,42;4.221,37;129,83;-;7.938,36;4.284,50;8.741,51;4.811,64;1.788,88
09.04.2026 08:00;09.04.2026 09:00;4.452,40;1.505,83;5.742,71;11.022,80;13.629,87;129,83;-;7.893,04;3.972,64;7.764,29;2.345,49;1.791,86
09.04.2026 09:00;09.04.2026 10:00;4.352,56;1.463,67;5.839,57;8.688,44;26.865,51;127,58;-;6.738,98;2.784,47;5.541,20;300,97;1.790,26
09.04.2026 10:00;09.04.2026 11:00;4.232,90;1.471,94;5.599,84;7.967,05;38.470,17;125,25;-;4.119,50;1.063,29;3.021,21;63,07;1.739,84
09.04.2026 11:00;09.04.2026 12:00;4.143,52;1.495,58;4.263,63;8.052,54;45.392,53;114,47;-;3.605,22;873,80;2.585,92;90,41;1.718,97
09.04.2026 12:00;09.04.2026 13:00;4.029,91;1.490,35;4.010,75;8.860,59;47.170,42;120,52;-;3.549,94;900,33;2.488,05;108,27;1.743,50
09.04.2026 13:00;09.04.2026 14:00;3.997,83;1.372,17;4.125,35;7.873,85;47.103,51;120,52;-;3.552,21;875,97;2.662,81;37,78;1.740,35
09.04.2026 14:00;09.04.2026 15:00;4.017,18;1.352,30;3.812,35;7.631,82;44.977,03;120,52;-;3.509,04;828,01;2.999,42;4,48;1.734,13
09.04.2026 15:00;09.04.2026 16:00;4.053,39;1.436,03;4.446,02;9.295,27;39.774,28;120,52;-;3.552,62;963,31;3.217,16;8,58;1.759,56
