Timestamp;Photovoltaik [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen
0;0.014545454545454545;9554.93090909091
1;0.006363636363636364;9334.701818181818
2;0.0;9247.978181818182
3;0.0;9172.503636363635
4;0.0;9034.447272727273
5;0.09090909090909091;9035.633636363636
6;292.3172727272727;9031.898181818182
7;3478.5745454545454;8634.740909090908
8;10106.90090909091;7403.771818181819
9;18574.648181818182;5884.91090909091
10;26270.452727272725;5237.137272727273
11;31713.394545454543;5203.570000000001
12;34149.28818181818;5428.723636363637
13;34024.358181818185;5554.794545454546
14;31754.37909090909;5983.028181818182
15;27449.62909090909;6584.376363636364
16;21733.171818181818;7275.641818181818
17;14432.914545454545;7811.711818181819
18;6912.867272727272;7709.698181818181
19;1612.4963636363636;7762.895454545455
20;43.88363636363636;8554.448181818181
21;0.13;9376.188181818181
22;0.021818181818181816;9650.520909090908
23;0.01818181818181818;9600.833636363635
