;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.010000001;-244.3494;74.83871;-140.69104
1;0.0;-127.34669;151.15251;-164.22192
2;0.0;-171.07286;109.96302;169.63916
3;0.0;-316.1172;21.300798;927.4234
4;0.0;-459.17075;31.739058;2229.914
5;0.58;-415.4597;391.8428;4275.558
6;642.66;133.38522;1482.6652;7324.072
7;5407.91;1677.5986;3836.824;11665.647
8;14654.399;4984.1284;8298.072;17787.27
9;25193.361;10983.822;15798.877;26138.986
10;34145.69;19542.262;25895.352;35850.676
11;40861.22;28445.215;35908.56;44377.38
12;41786.31;34834.145;42405.855;48957.242
13;38681.65;37096.188;43466.85;48279.945
14;32069.33;35035.18;39437.336;42950.1
15;25691.62;29269.168;31819.244;34623.297
16;18752.54;21041.086;22533.576;25361.004
17;12369.2;12073.668;13447.075;16912.064
18;6153.2505;4690.8745;6321.0664;10490.74
19;1605.29;543.20544;2062.5754;6329.1475
20;51.800003;-854.4463;270.57532;3871.1118
21;0.05;-932.6206;-164.57225;2397.238
22;0.020000001;-630.36957;-99.95013;1458.5403
23;0.020000001;-326.31848;52.079735;858.448
24;0.010000001;-134.87508;147.34369;536.6156
25;0.010000001;-70.93381;154.0228;487.1044
26;0.0;-116.18438;101.39318;750.51495
27;0.0;-226.26309;52.20965;1405.2399
28;0.0;-320.05682;123.79373;2580.5386
29;0.17999999;-246.41034;494.47806;4432.2427
30;418.34998;238.8467;1446.022;7140.689
31;3119.27;1516.3826;3395.805;10927.436
32;7713.51;4077.6711;6828.4023;15980.124
33;13347.35;8352.071;12076.281;22253.299
34;17655.14;14194.145;18763.912;29056.791
35;20338.92;20315.076;25295.498;34793.715
36;22776.25;24713.639;29409.672;37607.71
37;22977.55;26037.588;29819.322;36714.34
38;22376.85;24032.938;26658.605;32583.941
39;21113.01;19381.805;21137.986;26581.924
40;18780.49;13362.546;14798.111;20237.715
41;13966.79;7557.4243;9044.048;14725.147
42;7712.3604;3271.8167;4749.407;10508.439
43;2171.18;877.4816;2091.171;7444.109
44;82.63;-128.2325;695.32184;5170.425
45;0.45;-374.25113;118.24964;3489.3794
46;0.020000001;-314.08377;-42.152847;2274.8591
47;0.020000001;-188.81422;-58.40941;1422.2234
