;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.010000001;-1018.048;265.4688;1589.8265
1;0.0;169.6334;1570.6938;2777.8896
2;0.0;170.7641;1142.7864;2184.1016
3;0.0;-1190.5754;-409.14908;702.2477
4;0.0;-1763.4856;-783.37103;725.7296
5;0.58;-884.30865;367.6897;2453.2268
6;642.66;190.71613;1361.2866;4137.487
7;5407.91;1455.9047;2681.9792;6161.009
8;14654.399;6329.047;8510.681;12862.58
9;25193.361;16551.975;20053.205;25303.068
10;34145.69;27215.615;30958.996;36755.527
11;40861.22;34684.28;38304.9;44075.516
12;41786.31;38627.09;42034.31;47211.805
13;38681.65;37781.004;40559.68;44691.215
14;32069.33;31912.102;33820.242;36776.844
15;25691.62;23103.088;24505.732;26466.248
16;18752.54;15169.574;16746.363;18308.83
17;12369.2;9632.719;11435.622;13045.439
18;6153.2505;5361.908;6975.1333;8808.425
19;1605.29;863.2894;1932.8541;3946.1086
20;51.800003;-1392.6774;-166.83617;1852.64
21;0.05;-860.29663;501.33835;2193.2898
22;0.020000001;-347.0446;850.97504;2028.3296
23;0.020000001;-1274.1226;-388.64825;279.681
24;0.010000001;-2265.965;-1286.5856;-937.4669
25;0.010000001;-2514.6265;-1407.722;-1011.3156
26;0.0;-2120.5918;-875.5697;-246.53127
27;0.0;-1630.3224;-435.85004;558.4728
28;0.0;-1003.6145;223.24149;1759.6515
29;0.17999999;-559.76215;526.1777;2762.6868
30;418.34998;116.130035;1263.197;4230.9985
31;3119.27;1747.8099;3013.183;6647.7803
32;7713.51;4688.7036;6231.3057;10443.2295
33;13347.35;9447.308;11513.655;16260.395
34;17655.14;15093.21;17497.996;22548.45
35;20338.92;19536.906;21890.467;26909.104
36;22776.25;20915.541;22852.35;27467.457
37;22977.55;20018.51;21919.94;25975.713
38;22376.85;18183.125;20201.525;23711.236
39;21113.01;16093.585;18278.113;21303.967
40;18780.49;13871.757;16163.918;18856.312
41;13966.79;11341.777;13642.205;16103.694
42;7712.3604;7123.653;8932.34;11122.659
43;2171.18;1268.9697;2413.7234;4353.7524
44;82.63;-2818.4036;-1684.3025;27.965508
45;0.45;-2900.739;-1295.3307;163.1821
46;0.020000001;-1753.0765;-164.8695;896.56964
47;0.020000001;-2459.4404;-1294.165;-641.2346
